"Symptom Type","Reporter Comment"
"5 - Quality Issue - Assembly","hopper cover fan missing uv marked"
"5 - Quality Issue - Assembly","Fwd Speed Max % not programmed correctly."
"4 - Quality Issue - Functional","Flashing yellow LED not working."
"4 - Quality Issue - Functional","Fault Code: 5-F7C4: Right Drop-Off. Failed Track 1 first mirror test."
"5 - Quality Issue - Assembly","Left and Right Safety sensor not calibrated to specs."
"5 - Quality Issue - Assembly","missing two rubber bumper on engine cover."
"5 - Quality Issue - Assembly","Issues acknowledged left open on VF"
"5 - Quality Issue - Assembly","steering plate missing decal "
"5 - Quality Issue - Assembly","middle cover missing plate weldment
"
"5 - Quality Issue - Assembly","leak water from black filter.
"
"5 - Quality Issue - Assembly","Alternator connector cover"
"5 - Quality Issue - Assembly","Missing pump hose"
"5 - Quality Issue - Assembly","Alternator still exposed"
"5 - Quality Issue - Assembly","Strain relief loose"
"5 - Quality Issue - Assembly","Battery neg terminal not covered properly"
"5 - Quality Issue - Assembly","Fault history not cleared"
"4 - Quality Issue - Functional","Solution Hose is leaking from the Pump and Hose Fitting._Kitty Cat."
"5 - Quality Issue - Assembly","Out of solution filter hose "
"5 - Quality Issue - Assembly","Scrub Deck is loose."
"5 - Quality Issue - Assembly","Brake handle is touching foot panel."
"5 - Quality Issue - Assembly","Route harness not tight on strain relief "
"5 - Quality Issue - Assembly","Dump door assy is not opening "
"5 - Quality Issue - Assembly","Sometime dump door wont close all the way "
"5 - Quality Issue - Assembly","Wrong software revisions - CRL compute & CRL safety "
"5 - Quality Issue - Assembly","Fuse not covered"
"5 - Quality Issue - Assembly","Missing holes for beacon kit (56413649)"
"5 - Quality Issue - Assembly","STD SEAT BELT KIT (56394262) is missing "
"5 - Quality Issue - Assembly","SIDES Skirt Assembly needs adjustment "
"5 - Quality Issue - Assembly","missing 486112 clamps that hold spray kit hose under lower hopper. out of part"
"5 - Quality Issue - Assembly","missing clamps that hold hose under lower hopper. out of part"
"5 - Quality Issue - Assembly","Left Safety sensor, Go and No Go test not calibrated."
"5 - Quality Issue - Assembly","brake rubbing on feet weldment. "
"5 - Quality Issue - Assembly","Left skirt assembly is bending to low "
"4 - Quality Issue - Functional","REV (B) "
"2 - Quality Issue - Appearance","Damages/scratches on front top right corner of Solution Tank."
"5 - Quality Issue - Assembly","Warning decal is crooked."
"5 - Quality Issue - Assembly","Drive wheel chain tension loose."
"5 - Quality Issue - Assembly","main broom doesn't go down."
"5 - Quality Issue - Assembly","Left Safety sensor failed Go and No Go test. Needs calibration."
"5 - Quality Issue - Assembly","Mapping and Right Safety sensor not calibrated to specs."
"5 - Quality Issue - Assembly","loose deck "
"5 - Quality Issue - Assembly","loose deck "
"5 - Quality Issue - Assembly","Missing pump hose."
"4 - Quality Issue - Functional","Machine will not connect to EOL for 4.06 update."
"5 - Quality Issue - Assembly","Missing hose that connects to pump."
"4 - Quality Issue - Functional","Fault Code 03 intermitting."
"4 - Quality Issue - Functional","New Firmware: 4.06. Glitching when Saving New Tag and Starting New Plan, no Save screen goes straight to Menu screen."
"5 - Quality Issue - Assembly","3D Camera is in wrong position."
"4 - Quality Issue - Functional","Fault Code: 5-F4C7: Right Drop-Off. Failed Track 1 first mirror test."
"5 - Quality Issue - Assembly","All SIDE yellow Knobs (Bottom pieces) are installed upside down."
"5 - Quality Issue - Assembly","yellow knobs on deck installed upside down."
"5 - Quality Issue - Assembly","Extra Zip Tie installed. Bending the hose, and applying pressure to L Barb Fitting."
"4 - Quality Issue - Functional","Seat Switch is not operating. Machine still goes forward when technician is not driving the machine."
"5 - Quality Issue - Assembly","Wrong Logo Decals. This is an Advance Machine."
"5 - Quality Issue - Assembly","need to install backup alarm ."
"5 - Quality Issue - Assembly","Squeegee blade not installed correctly "
"5 - Quality Issue - Assembly","Right Safety sensor failed Go & No Go Test."
"5 - Quality Issue - Assembly","Mapping, Right and Left Safety sensors not calibrated to specs."
"3 - Quality Issue - Supplier","Battery Tray is deformed during molding process."
"5 - Quality Issue - Assembly","Scrub Deck is loose. Rubber peds are not compressed per Work Instructions."
"4 - Quality Issue - Functional","New Firmware: 4.06: Glitching when Saving New Tag or Starting New Plan, goes straight to Menu screen."
"4 - Quality Issue - Functional","Fault Code: 5-F4C7: Right Drop-Off. Failed Track 1 first mirror test."
"5 - Quality Issue - Assembly","steering column decal flip upside down, facing wrong direction."
"5 - Quality Issue - Assembly","3D Camera not angled correctly."
"5 - Quality Issue - Assembly","Mapping and Right Safety sensor not calibration specs."
"4 - Quality Issue - Functional","Fault Code: 5-E545 Communication Fault. "
"4 - Quality Issue - Functional","Fauld Code: 1-055 Lost Comm-A5 Auto. Troubleshooting Auto Mod."
"5 - Quality Issue - Assembly","need to install screws on foot plate"
"4 - Quality Issue - Functional","Deadman switch not activating some of the time"
"4 - Quality Issue - Functional","drive wheel was making creaking noise"
"5 - Quality Issue - Assembly","NEEDS GREASE FOR SPROCKET."
"5 - Quality Issue - Assembly","NO MORE GREASE FOR SPROCKET - WAITING FOR MAINTENANCE"
"4 - Quality Issue - Functional","Detergent pump is very weak."
"5 - Quality Issue - Assembly","Not done according to work instructions."
"2 - Quality Issue - Appearance","Battery Cover has dent marks"
"4 - Quality Issue - Functional","Class 2 leak on connector to Solenoid fitting."
"3 - Quality Issue - Supplier","Air bubbles present on all decals and most were crooked."
"2 - Quality Issue - Appearance","Back up Alarm decal dirty."
"2 - Quality Issue - Appearance","Debris/shaving found in recovery tank filter."
"2 - Quality Issue - Appearance","Debris/shaving found in recovery tank filter."
"5 - Quality Issue - Assembly","Hopper Cover Strain Relief missing UV mark."
"5 - Quality Issue - Assembly","steering column decal is flip upside down.
arrow face wrong direction."
"4 - Quality Issue - Functional","Parking brake not engaged"
"5 - Quality Issue - Assembly","There is no chemical tank in the machine."
"5 - Quality Issue - Assembly","Speed controller wire M1 is routed wrong and is wrapped behind the main harness."
"5 - Quality Issue - Assembly","Negative battery wire is routed wrong."
"5 - Quality Issue - Assembly","battery tray has a rip."
"4 - Quality Issue - Functional","Fauld Code: 5-F4C7: Right Drop-Off. Failed Track 1 first mirror test."
"5 - Quality Issue - Assembly","leak from filter"
"5 - Quality Issue - Assembly","Fwd Speed Max not programmed correctly."
"5 - Quality Issue - Assembly","e brake doesn't work."
"5 - Quality Issue - Assembly","steering column feels funny/tight.
"
"4 - Quality Issue - Functional","New firmware: 4.06. Saving screen does not show up after saving new tag, goes straight to Menu screen."
"4 - Quality Issue - Functional","Fault Code: 5-F5C4: Right Drop-Off. Failed Track 1 first mirror test."
"2 - Quality Issue - Appearance","Damages/scratches on front top corner of solution tank."
"5 - Quality Issue - Assembly","Missing drive wheel shaft key. Chain just spins."
"5 - Quality Issue - Assembly","Missing drive wheel shaft key. Chain just spins."
"5 - Quality Issue - Assembly","Mapping, Left and Right sensors hardware missing torque seal."
"5 - Quality Issue - Assembly","Mapping and Left Safety sensors not calibrated to specs."
"5 - Quality Issue - Assembly","missing potentiometer."
"5 - Quality Issue - Assembly","waiting on screen weldment 56111751, so won't be able to installed hopper."
"1 - Performance Loss","Fault history not cleared "
"5 - Quality Issue - Assembly","Speed controller connections not covered"
"5 - Quality Issue - Assembly","Fault history not cleared."
"2 - Quality Issue - Appearance","Film on Right Hybrid decal."
"2 - Quality Issue - Appearance","Serial tag decal S/N not fully printed."
"5 - Quality Issue - Assembly","Strain relief not tighten and UV marked."
"5 - Quality Issue - Assembly","Missing UV mark on hardware."
"5 - Quality Issue - Assembly","Fault history not cleared."
"2 - Quality Issue - Appearance","Inside of Hopper dirty."
"5 - Quality Issue - Assembly","Missing UV mark on hardware."
"2 - Quality Issue - Appearance","Debris in Recover Tank filter."
"2 - Quality Issue - Appearance","Damages and residue on panel decal."
"2 - Quality Issue - Appearance","Damages on rear squeegee strap."
"5 - Quality Issue - Assembly","Back up alarm decal loose."
"2 - Quality Issue - Appearance","Dump door has hydraulic residue."
"2 - Quality Issue - Appearance","Hydraulic leak on dump door fitting."
"5 - Quality Issue - Assembly","Leak on solution tank near panel "
"5 - Quality Issue - Assembly","Hose leak for left mist kit!!"
"1 - Performance Loss","Horn switch kit installed (not ordered)"
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"3 - Quality Issue - Supplier","Failed Hot Test:
P1629 LPG Fuel System Error"
"5 - Quality Issue - Assembly","FAIL HOT TEST!!!"
"5 - Quality Issue - Assembly","bulb seal on solution tank doesn't stick good"
"3 - Quality Issue - Supplier","Mapping Sensor and 2D right & left sensor failed"
"1 - Performance Loss","Fault history not cleared "
"5 - Quality Issue - Assembly","Production Issue: Main 3 is still open in visual factory"
"5 - Quality Issue - Assembly","Loose connection on K3 relay"
"4 - Quality Issue - Functional","Battery needs to be charge "
"5 - Quality Issue - Assembly","Radiator cap loose "
"5 - Quality Issue - Assembly","Rag forgot on hydraulic power pack assy "
"5 - Quality Issue - Assembly","MAIN 4&6 
Sub 7 forgot to close it up on VF "
"5 - Quality Issue - Assembly","Loose cable next to actuator "
"5 - Quality Issue - Assembly","Bracket for battery stopper is hard to take out"
"5 - Quality Issue - Assembly","Missing lit pack, waiting for lit pack"
"5 - Quality Issue - Assembly","Strainer relief is not tightened "
"5 - Quality Issue - Assembly","Rag forgot on hydraulic power pack assy "
"5 - Quality Issue - Assembly","Sub 7 forgot to close it up on VF "
"5 - Quality Issue - Assembly","Associate issues left open "
"5 - Quality Issue - Assembly","Sub 3 forgot to close it on VF "
"5 - Quality Issue - Assembly","Hopper latch is hitting the hopper "
"5 - Quality Issue - Assembly","Missing rag on hydraulic power pack assy (PL 56511837 )"
"5 - Quality Issue - Assembly","Ferrite kit missing "
"2 - Quality Issue - Appearance","Back up alarm decal damage "
"2 - Quality Issue - Appearance","Do not have confirmation if FL 494 is actually a uvgi unit so item # might be wrong. "
"2 - Quality Issue - Appearance","Do not have confirmation if FL 494 is actually a uvgi unit so item # might be wrong. "
"5 - Quality Issue - Assembly","Missing brackets and ground chain under foot pedal."
"1 - Performance Loss","Missing hopper"
"5 - Quality Issue - Assembly","leak where tape is at, close to control panel."
"2 - Quality Issue - Appearance","Damages on front of Solution Tank, top right corner (marked w/ red tape)."
"3 - Quality Issue - Supplier","Right side battery door lock hitting plastic"
"1 - Performance Loss","Left side drop off sensor is reading infinite amount of numbers."
"5 - Quality Issue - Assembly","Left Nilfisk decal has a bubble/bump."
"5 - Quality Issue - Assembly","Ferrite Kit is missing."
"5 - Quality Issue - Assembly","SUB 3 did not clock the machine out."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked on hardware."
"5 - Quality Issue - Assembly","Ferrite kit missing"
"5 - Quality Issue - Assembly","SUB 7 And Main 6 did not clock out the machine."
"5 - Quality Issue - Assembly","UV Torque Stripes Missing"
"5 - Quality Issue - Assembly","Scrub deck is loose"
"2 - Quality Issue - Appearance","Plastic Shavings in Vac Filter."
"5 - Quality Issue - Assembly","FOD present at Hydraulic Power Pack."
"5 - Quality Issue - Assembly","UV Torque Stripes missing on hardware."
"5 - Quality Issue - Assembly","Main 6 didn’t clock the machine out."
"5 - Quality Issue - Assembly","Missing Ferrite Kit."
"5 - Quality Issue - Assembly","Hood top wiring for sensor hall isn't routed around the main harness."
"5 - Quality Issue - Assembly","Hood top wiring for sensor hall isn't routed around the main harness."
"5 - Quality Issue - Assembly","Negative battery harness is routed wrong."
"5 - Quality Issue - Assembly","Negative battery harness is routed wrong."
"4 - Quality Issue - Functional","New firmware: 4.06 is glitching. After hitting ""Yes"" to save new tag, Save screen does not appear goes straight to Menu screen."
"4 - Quality Issue - Functional","Unable to find Vodafone."
"4 - Quality Issue - Functional","Yellow flashing LED lights were functioning during Track 1."
"4 - Quality Issue - Functional","Fault Code: 5-F7C4: Right Drop-Off. Failed Track 1 first mirror test."
"5 - Quality Issue - Assembly","Mapping Sensor not calibrated to specs."
